Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,85.1,86,84,,,,,,,,85
1E,85,86,85.2,,,,,,,,85.4
2H,86,87.7,86.2,,,,,,,,86.6
2E,83.7,84,85,,,,,,,,84.2
1E1,86,83.2,85,,,,,,,,84.7
1E2,86,85.2,85.6,,,,,,,,85.6
1E3,85,85.7,84.8,,,,,,,,85.2
1E4,80.3,85.2,85,,,,,,,,83.5
1E5,87,87.8,86.7,,,,,,,,87.2
1E6,87.8,88,86.2,,,,,,,,87.3
1E7,89.2,86.8,87.2,,,,,,,,87.7
2E1,86.2,86.8,87,,,,,,,,86.7
2E2,86.2,86.6,87,,,,,,,,86.6
2E3,82.6,84,85,,,,,,,,83.9
2E4,86.4,86,82.8,,,,,,,,85.1
2E5,80,82,82.8,,,,,,,,81.6
2E6,83,84.7,84,,,,,,,,83.9
2E7,82.8,86,86.5,,,,,,,,85.1
