Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,80.9,86,87.2,,,,,,,,84.7
1E,88.8,88.5,87,,,,,,,,88.1
2H,84,83.7,85,,,,,,,,84.2
2E,87,86,88.3,,,,,,,,87.1
3H,81.2,82,84.8,,,,,,,,82.7
3E,87.5,86.2,86,,,,,,,,86.6
4H,80.7,85,84.8,,,,,,,,83.5
4E,86,84.8,86.5,,,,,,,,85.8
5H,86,84,88,,,,,,,,86
5E,88.4,86,88.3,,,,,,,,87.6
6H,84,86.7,85,,,,,,,,85.2
6E,87,86.2,88,,,,,,,,87.1
1H1,88,87.2,86.8,,,,,,,,87.3
1E1,89.2,89.7,90.5,,,,,,,,89.8
2H1,86.4,85.5,87.5,,,,,,,,86.5
2E1,83,84.7,85,,,,,,,,84.2
3H1,88,88.4,85,,,,,,,,87.1
3E1,85,85.3,84,,,,,,,,84.8
4H1,87,86.5,83.8,,,,,,,,85.8
4E1,83.1,85.8,82,,,,,,,,83.6
5H1,87,86.1,86,,,,,,,,86.4
5E1,87.4,87.7,86.5,,,,,,,,87.2
6H1,82,80.8,83,,,,,,,,81.9
6E1,86,85.7,84.5,,,,,,,,85.4
