Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,88.2,87.8,87.6,,,,,,,,87.9
1E,87,87.4,87.2,,,,,,,,87.2
2H,88.8,87.8,87.3,,,,,,,,88
2E,87.8,87.6,87.4,,,,,,,,87.6
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,,,,,,,,,,,
2A,88.4,87.9,87.5,,,,,,,,87.9
2B,87.1,87,87.4,,,,,,,,87.2
1B,88.4,88,87.2,,,,,,,,87.9
1A,87.7,87.3,87,,,,,,,,87.3
1M,87.2,87.6,87.1,,,,,,,,87.3
2M,87.1,87,87.4,,,,,,,,87.2
