Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1A,75.3,74.9,71.4,,,,,,,,73.9
1B,75.5,80,75,,,,,,,,76.8
1E,,,,,,,,,,,
2H,77.7,81.5,78.9,,,,,,,,79.4
2A,77,76.3,78.1,,,,,,,,77.1
2B,77.9,81.2,78.9,,,,,,,,79.3
2E,,,,,,,,,,,
3H,79,80.6,80.8,,,,,,,,80.1
3A,,,,,,,,,,,
3B,77.5,79.8,79.3,,,,,,,,78.9
3E,,,,,,,,,,,
4H,82.8,80.3,78,,,,,,,,80.4
4A,77.2,82.9,78,,,,,,,,79.4
4B,77.1,78.9,80.6,,,,,,,,78.9
4E,,,,,,,,,,,
5H,79.4,80.1,79.8,,,,,,,,79.8
5A,80.5,79.2,77.2,,,,,,,,79
5B,,,,,,,,,,,
5E,,,,,,,,,,,
6H,79.3,81.3,80.3,,,,,,,,80.3
6A,77.7,75,78.5,,,,,,,,77.1
6B,79.3,81.7,82,,,,,,,,81
6E,,,,,,,,,,,
7H,74.8,79.6,78.9,,,,,,,,77.8
7A,80.2,78.9,77.3,,,,,,,,78.8
7B,75.2,79.9,80.6,,,,,,,,78.6
7E,,,,,,,,,,,
8H,82,82.4,73,,,,,,,,79.1
8A,83.4,81.2,81.3,,,,,,,,82
8B,75.4,79.6,71.8,,,,,,,,75.6
8E,78.5,81.2,78.8,,,,,,,,79.5
9H,80.8,75.9,80.2,,,,,,,,79
9A,77.4,81,74,,,,,,,,77.5
9B,76.7,78.3,75.8,,,,,,,,76.9
9E,79.9,79.7,80.6,,,,,,,,80.1
10H,82.9,78,77.2,,,,,,,,79.4
10A,79.1,77.8,82.7,,,,,,,,79.9
10B,72.1,78.2,78,,,,,,,,76.1
10E,76.8,80.7,82,,,,,,,,79.8
11H,76,80,77.9,,,,,,,,78
11A,73.3,76.6,81.3,,,,,,,,77.1
11B,79.3,76.1,80.1,,,,,,,,78.5
11E,79.3,79.9,78.8,,,,,,,,79.3
12H,80.1,81.4,81.1,,,,,,,,80.9
12A,77,74.1,79.8,,,,,,,,77
12B,82,78,78.7,,,,,,,,79.6
12E,77.9,78,80.8,,,,,,,,78.9
13H,73.7,80.9,80,,,,,,,,78.2
13A,72.2,77.7,77.5,,,,,,,,75.8
13B,79.6,80.9,78.2,,,,,,,,79.6
13E,77.9,78.3,78.6,,,,,,,,78.3
14H,80.2,78.8,77,,,,,,,,78.7
14A,78,79.3,79.6,,,,,,,,79
14B,78.1,79.3,78.8,,,,,,,,78.7
14E,78.3,80.8,80.8,,,,,,,,80
