Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,91.6,90.6,91,,,,,,,,91.1
1E,93.1,92,90,,,,,,,,91.7
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,94,90.1,93,,,,,,,,92.4
3E,89.8,91.7,91.6,,,,,,,,91
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,93.7,92,93.8,,,,,,,,93.2
5E,93.1,96.8,92.7,,,,,,,,94.2
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,90.7,93,91.2,,,,,,,,91.6
7E,94,91.5,97.1,,,,,,,,94.2
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,89,91.3,90.6,,,,,,,,90.3
9E,92.5,95.1,92.7,,,,,,,,93.4
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,91.6,91.5,89.7,,,,,,,,90.9
11E,92.5,93.8,91,,,,,,,,92.4
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,91.6,92.4,91,,,,,,,,91.7
13E,96.7,90.7,91,,,,,,,,92.8
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,93,91.6,90,,,,,,,,91.5
15E,89,91,91.2,,,,,,,,90.4
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,91.7,91.3,90.2,,,,,,,,91.1
17E,91.7,93.1,90,,,,,,,,91.6
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,90.2,93.2,91,,,,,,,,91.5
19E,90.7,91.3,90,,,,,,,,90.7
20H,,,,,,,,,,,
20E,,,,,,,,,,,
21H,89,90,92,,,,,,,,90.3
21E,90.3,89,91.8,,,,,,,,90.4
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,89,91.7,90,,,,,,,,90.2
23E,92.1,89.7,93.4,,,,,,,,91.7
24H,,,,,,,,,,,
24E,,,,,,,,,,,
25H,90.2,90.3,89.8,,,,,,,,90.1
25E,89,90.8,91.8,,,,,,,,90.5
26H,,,,,,,,,,,
26E,,,,,,,,,,,
27H,90,91.4,90.9,,,,,,,,90.8
27E,89.1,91.9,91,,,,,,,,90.7
28H,,,,,,,,,,,
28E,,,,,,,,,,,
29H,88.9,89,90.8,,,,,,,,89.6
29E,90.4,91,90,,,,,,,,90.5
30H,,,,,,,,,,,
30E,,,,,,,,,,,
31H,89,90.8,91,,,,,,,,90.3
31E,91.2,90.3,92,,,,,,,,91.2
32H,,,,,,,,,,,
32E,,,,,,,,,,,
33H,91,90,91.5,,,,,,,,90.8
33E,89,90.3,91.6,,,,,,,,90.3
34H,,,,,,,,,,,
34E,,,,,,,,,,,
35H,91,90.7,91.3,,,,,,,,91
35E,89.1,90.7,90.8,,,,,,,,90.2
36H,,,,,,,,,,,
36E,90.6,92.7,92.4,,,,,,,,91.9
37H,90.1,89.7,91.3,,,,,,,,90.4
37E,91,92.4,90.2,,,,,,,,91.2
38H,,,,,,,,,,,
38E,,,,,,,,,,,
39H,90,89.8,89,,,,,,,,89.6
39E,89.1,92.1,90.4,,,,,,,,90.5
40H,,,,,,,,,,,
40E,,,,,,,,,,,
41H,90,91.2,91,,,,,,,,90.7
41E,93.9,89.4,92.9,,,,,,,,92.1
42H,,,,,,,,,,,
42E,,,,,,,,,,,
43H,90.7,90.8,90,,,,,,,,90.5
43E,95.6,92,92,,,,,,,,93.2
44H,,,,,,,,,,,
44E,,,,,,,,,,,
45H,90.4,91.2,90,,,,,,,,90.5
45E,91,90.8,92,,,,,,,,91.3
46H,,,,,,,,,,,
46E,,,,,,,,,,,
47H,91,89,90.1,,,,,,,,90
47E,92.7,89,93.4,,,,,,,,91.7
48H,,,,,,,,,,,
48E,,,,,,,,,,,
49H,91,90.1,91,,,,,,,,90.7
49E,89,90.7,92.5,,,,,,,,90.7
50H,,,,,,,,,,,
50E,,,,,,,,,,,
51H,,,,,,,,,,,
51E,89,91,90.9,,,,,,,,90.3
52H,89.8,90.5,91,,,,,,,,90.4
52E,,,,,,,,,,,
53H,91.3,89,88.8,,,,,,,,89.7
53E,94.8,92.9,92,,,,,,,,93.2
54H,,,,,,,,,,,
54E,,,,,,,,,,,
55H,91,90.2,91.1,,,,,,,,90.8
55E,,,,,,,,,,,
56H,,,,,,,,,,,
56E,,,,,,,,,,,
57H,89.9,90.5,91,,,,,,,,90.5
57E,90,91.7,92.,,,,,,,,91.2
58H,,,,,,,,,,,
58E,,,,,,,,,,,
59H,91.8,91.9,92,,,,,,,,91.9
59E,90.7,91.1,91.5,,,,,,,,91.1
60H,,,,,,,,,,,
60E,,,,,,,,,,,
61H,89,89.7,92,,,,,,,,90.2
61E,91.6,92.9,91,,,,,,,,91.8
62H,,,,,,,,,,,
62E,,,,,,,,,,,
63H,91.2,90.3,91.9,,,,,,,,91.1
63E,,,,,,,,,,,
64H,,,,,,,,,,,
64E,,,,,,,,,,,
65H,91,92.8,90.2,,,,,,,,91.3
65E,91,90.8,91.1,,,,,,,,91
66H,,,,,,,,,,,
66E,,,,,,,,,,,
67H,89.9,90.4,92.6,,,,,,,,91
67E,92.8,93.6,91,,,,,,,,92.5
68H,,,,,,,,,,,
68E,,,,,,,,,,,
69H,89.1,89.4,92.7,,,,,,,,90.4
69E,92.4,92.6,90.8,,,,,,,,91.9
70H,,,,,,,,,,,
70E,,,,,,,,,,,
