Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,87,87.5,86,,,,,,,,86.8
1E,91,90.2,89,,,,,,,,90.1
2H,84,87,86.5,,,,,,,,85.8
2E,89.4,88.5,82.2,,,,,,,,86.7
3H,47.1,46.6,45,,,,,,,,46.2
3E,91.2,92,91.7,,,,,,,,91.6
4H,83,86.5,87,,,,,,,,85.5
4E,87,88.9,86,,,,,,,,87.3
5H,85,82.8,85,,,,,,,,84.3
5E,89.2,90.9,89,,,,,,,,89.7
6H,86,84.8,85,,,,,,,,85.3
6E,87,86.3,88,,,,,,,,87.1
2H1,86,87.2,88,,,,,,,,87.1
6E1,86,87,85,,,,,,,,86
6H1,87,88.2,87.7,,,,,,,,87.6
4E1,90,90.7,89.9,,,,,,,,90.2
1H1,90.5,89.7,89,,,,,,,,89.7
4H1,88.7,88,87.2,,,,,,,,88
3H1,90,90.4,90.5,,,,,,,,90.3
2E1,86,87.2,86.8,,,,,,,,86.7
5H1,87.5,88,86.1,,,,,,,,87.2
2E2,86,87.2,87,,,,,,,,86.7
6E2,86,87.8,85,,,,,,,,86.3
4H2,84,85.9,86,,,,,,,,85.3
2H2,87,88.2,87.6,,,,,,,,87.6
6H2,88.9,87.8,88.1,,,,,,,,88.3
5H2,90,89.9,90.2,,,,,,,,90
