Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,88.7,92,91,90.7,91.7,0,0,0,0,0,45.4
1E,89.7,90.5,92.7,91.3,90,0,0,0,0,0,45.4
2H,92,90.4,89.7,90,91.6,0,0,0,0,0,45.4
2E,92.1,91.7,91.6,92,89.7,0,0,0,0,0,45.7
3H,89,91.3,91.4,89,89.7,0,0,0,0,0,45
3E,88.7,91.6,92.6,91,92.7,0,0,0,0,0,45.7
4H,91.4,88.7,88.6,89.4,90,0,0,0,0,0,44.8
4E,92,92.6,92,91,90.2,0,0,0,0,0,45.8
5H,89.6,90.5,89.7,89.9,90,0,0,0,0,0,45
5E,88,92.8,92.4,90,89,0,0,0,0,0,45.2
6H,90.4,89.4,90.2,89.7,92.1,0,0,0,0,0,45.2
6E,91.6,91.8,90.9,90.4,91,0,0,0,0,0,45.6
7H,92.5,92.5,91,89,90.2,0,0,0,0,0,45.5
7E,92.4,88,88.9,92.2,91,0,0,0,0,0,45.2
8H,90,91,88,90,89.8,0,0,0,0,0,44.9
8E,90.4,93.4,89.7,91.2,90,0,0,0,0,0,45.5
9H,88.7,91.8,91,90.2,0,0,0,0,0,0,36.2
9E,89.7,91.2,90.7,91.7,90,0,0,0,0,0,45.3
10H,90,89.9,91,88.9,89.3,0,0,0,0,0,44.9
10E,91.3,92.7,91.6,92.1,90,0,0,0,0,0,45.8
11H,89.3,90.5,88,92.9,91,0,0,0,0,0,45.2
11E,91.5,90.7,92.4,90.2,89,0,0,0,0,0,45.4
12H,89,92.5,90.4,91,90.5,0,0,0,0,0,45.3
12E,89.8,92.3,91,92,92,0,0,0,0,0,45.7
