Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1A,,,,,,,,,,,
1B,75,78,77.4,,,,,,,,76.8
1C,,,,,,,,,,,
1D,,,,,,,,,,,
1E,79.5,78.3,80.6,,,,,,,,79.5
1F,,,,,,,,,,,
1END,76.5,75,72.8,,,,,,,,74.8
2H,,,,,,,,,,,
2A,,,,,,,,,,,
2B,78.2,83,84.2,,,,,,,,81.8
2C,78.6,74.2,78.8,,,,,,,,77.2
2D,79,78.2,81,,,,,,,,79.4
2E,,,,,,,,,,,
2F,76.3,79.8,79.7,,,,,,,,78.6
2END,78.9,79.8,,,,,,,,,79.4
3H,,,,,,,,,,,
3A,,,,,,,,,,,
3B,,,,,,,,,,,
3C,79.6,80.7,80.2,,,,,,,,80.2
3D,,,,,,,,,,,
3E,,,,,,,,,,,
3F,73.3,81.1,79.9,,,,,,,,78.1
3END,,,,,,,,,,,
