Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,93.2,92.2,90,,,,,,,,91.8
1E,90.1,89,90.5,,,,,,,,89.9
2H,86.9,87,86.3,,,,,,,,86.7
2E,89,92.9,90.2,,,,,,,,90.7
3H,85.2,86,84.8,,,,,,,,85.3
3E,91.6,90,92.7,,,,,,,,91.4
4H,86,84.4,85,,,,,,,,85.1
4E,81,81.9,80.3,,,,,,,,81.1
5H,87,83.8,86,,,,,,,,85.6
5E,85,86.9,87.2,,,,,,,,86.4
6H,82,81.9,85,,,,,,,,83
6E,82,80.8,83,,,,,,,,81.9
2H1,90.8,89.7,90.2,,,,,,,,90.2
3H1,88.2,83.3,86,,,,,,,,85.8
4H1,87,88.2,87.6,,,,,,,,87.6
4E1,86,83.8,86.6,,,,,,,,85.5
5H1,82.8,87,86.2,,,,,,,,85.3
5E1,87,86.8,86.2,,,,,,,,86.7
6H1,87,88.2,83.8,,,,,,,,86.3
6E1,84,83,85,,,,,,,,84
2H2,,,,,,,,,,,
3H2,90.8,90.2,89,,,,,,,,90
4H2,90,90.8,89.7,,,,,,,,90.2
4E2,76,87,86.9,,,,,,,,83.3
5H2,88.2,87,85.6,,,,,,,,86.9
5E2,88.4,86,87.8,,,,,,,,87.4
6H2,86,82.9,85,,,,,,,,84.6
6E2,85.4,86,87.2,,,,,,,,86.2
6H3,83,84.7,85,,,,,,,,84.2
6E3,90.8,90.2,89,,,,,,,,90
4E3,83,85.7,84,,,,,,,,84.2
5E3,84.2,85,83.7,,,,,,,,84.3
5H3,82.6,85,85.7,,,,,,,,84.4
