Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,83,85.9,84.8,,,,,,,,84.6
1E,83,85.7,84.8,,,,,,,,84.5
2H,83.5,85,84.8,,,,,,,,84.4
2E,84.2,85.4,85.4,,,,,,,,85
3H,83.6,84.7,84,,,,,,,,84.1
3E,83.2,84.2,84,,,,,,,,83.8
4H,81.9,82.9,84.9,,,,,,,,83.2
4E,81,81.9,82,,,,,,,,81.6
5H,83,82.8,83.7,,,,,,,,83.2
5E,83,85,84.8,,,,,,,,84.3
6H,70.8,72,73.7,,,,,,,,72.2
6E,86,83.8,85,,,,,,,,84.9
7H,83,82.8,84,,,,,,,,83.3
7E,83.7,83.9,85,,,,,,,,84.2
8H,83.6,84,85.8,,,,,,,,84.5
8E,85.7,84,85.4,,,,,,,,85
1E1,81.3,82,83.8,,,,,,,,82.4
1E2,84,84.8,82,,,,,,,,83.6
1E3,83.2,84,84.8,,,,,,,,84
2E1,81.6,82,83.7,,,,,,,,82.4
2E2,82.8,83,84.7,,,,,,,,83.5
2E3,82,82.7,81.8,,,,,,,,82.2
3E1,83.8,85.4,84,,,,,,,,84.4
3E2,83,85.7,85,,,,,,,,84.6
4E1,82.7,82,83.7,,,,,,,,82.8
4E2,84,83.8,85,,,,,,,,84.3
4E3,83.2,85.7,85.3,,,,,,,,84.7
3E3,84.6,85.8,84.7,,,,,,,,85
5E1,85.1,85.7,83,,,,,,,,84.6
5E2,84.6,85,83.7,,,,,,,,84.4
5E3,81.9,82.8,84,,,,,,,,82.9
6E2,72,73.8,75,,,,,,,,73.6
6E3,82.9,82,83.8,,,,,,,,82.9
7E1,78.2,79,78.3,,,,,,,,78.5
7E2,85.4,85.3,85,,,,,,,,85.2
7E3,84,84.8,85,,,,,,,,84.6
8E1,85,84.8,83,,,,,,,,84.3
8E2,81.8,84.8,85,,,,,,,,83.9
8E3,82.8,74,74.8,,,,,,,,77.2
