Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,87.3,86.7,86,,,,,,,,86.7
1E,86.3,86.7,87,,,,,,,,86.7
2H,87.2,86.8,86,,,,,,,,86.7
2E,85.8,85.1,85,,,,,,,,85.3
3H,86.1,86.8,87.2,,,,,,,,86.7
3E,86.2,86.5,87.1,,,,,,,,86.6
4H,86.8,86,87.2,,,,,,,,86.7
4E,87.1,86,86.8,,,,,,,,86.6
5H,86.7,86,87.5,,,,,,,,86.7
5E,82.9,84.1,86.8,,,,,,,,84.6
6H,87.2,86,87.2,,,,,,,,86.8
6E,85.8,82.9,83.1,,,,,,,,83.9
1E1,85.3,84.4,85.6,,,,,,,,85.1
1E2,85.4,86.4,84,,,,,,,,85.3
1E3,86.9,86,87.2,,,,,,,,86.7
1E4,84.1,83.6,84,,,,,,,,83.9
1E5,83,80.9,85.4,,,,,,,,83.1
1E6,85.3,83.3,83.6,,,,,,,,84.1
1E7,87,86.2,86.5,,,,,,,,86.6
1E8,86.9,85.7,84.8,,,,,,,,85.8
1E9,87.4,86,87.1,,,,,,,,86.8
1E10,86.4,86.2,87,,,,,,,,86.5
2E1,83,85.4,85,,,,,,,,84.5
2E2,87.8,86,88,,,,,,,,87.3
2E3,84.8,85.6,86.4,,,,,,,,85.6
2E4,88.7,86.2,86.1,,,,,,,,87
2E5,84.8,83,82.7,,,,,,,,83.5
2E6,87.2,86.9,86,,,,,,,,86.7
2E7,85.3,83.1,85,,,,,,,,84.5
2E8,86.2,86.1,87.1,,,,,,,,86.5
2E9,87.1,86.2,86.5,,,,,,,,86.6
2E10,86.3,85.5,84.4,,,,,,,,85.4
3E1,84,86.1,85.2,,,,,,,,85.1
3E2,85,85.3,86,,,,,,,,85.4
3E3,87,86.4,86.3,,,,,,,,86.6
3E4,87,87,86.5,,,,,,,,86.8
3E5,85,85.6,83,,,,,,,,84.5
3E6,86.1,85.1,83.9,,,,,,,,85
3E7,83.7,86.4,85,,,,,,,,85
3E8,85.8,86,85.7,,,,,,,,85.8
3E9,86.3,87.8,86,,,,,,,,86.7
3E10,86.7,85,85.8,,,,,,,,85.8
4E1,86.6,86,87.2,,,,,,,,86.6
4E2,82.1,82,83.8,,,,,,,,82.6
4E3,86.1,85,86,,,,,,,,85.7
4E4,87.1,86.7,86.6,,,,,,,,86.8
4E5,86.5,87.7,86,,,,,,,,86.7
4E6,85.7,85.8,87,,,,,,,,86.2
4E7,86.4,86.8,87.2,,,,,,,,86.8
4E8,86.8,86,87.5,,,,,,,,86.8
4E9,86.1,86,85.5,,,,,,,,85.9
4E10,86.5,84,85,,,,,,,,85.2
5E1,83.5,84,83.8,,,,,,,,83.8
5E2,87,87.2,86.8,,,,,,,,87
5E3,86.3,86.7,87,,,,,,,,86.7
5E4,84.3,85.7,85.3,,,,,,,,85.1
5E5,80,82,83.8,,,,,,,,81.9
5E6,87.2,86,87,,,,,,,,86.7
5E7,88.2,87,86.7,,,,,,,,87.3
5E8,86,86.4,87.2,,,,,,,,86.5
5E9,87,86,87,,,,,,,,86.7
5E10,87.2,85.2,86.4,,,,,,,,86.3
6E1,82,84.1,83,,,,,,,,83
6E2,86.3,87.8,86,,,,,,,,86.7
6E3,86.3,86.8,87,,,,,,,,86.7
6E4,87,87.6,86.4,,,,,,,,87
6E5,87.8,86.2,86,,,,,,,,86.7
6E6,85.5,86.8,85,,,,,,,,85.8
6E7,87.3,86.3,87.9,,,,,,,,87.2
6E8,86.2,86.3,87.3,,,,,,,,86.6
6E9,85,84.7,84,,,,,,,,84.6
6E10,86,85,86.5,,,,,,,,85.8
1E11,88.5,86.4,87.4,,,,,,,,87.4
2E11,86.8,85.4,86.3,,,,,,,,86.2
3E11,86.8,86,87.3,,,,,,,,86.7
4E11,83.3,80,83.8,,,,,,,,82.4
5E11,86.9,86.5,87.2,,,,,,,,86.9
6E11,87,86,87.2,,,,,,,,86.7
