Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,92.9,92.2,92.6,93.4,90.2,0,0,0,0,0,46.1
1E,88.6,92.3,92.4,95,91.5,0,0,0,0,0,46
2H,89.7,92,92.5,92.2,91.5,0,0,0,0,0,45.8
2E,93.8,92.6,92.5,92.8,93.8,0,0,0,0,0,46.6
3H,90.8,91,89.9,90,90.4,0,0,0,0,0,45.2
3E,93,92.8,90.1,92.2,90,0,0,0,0,0,45.8
4H,91.7,90.5,89,91.9,92.8,0,0,0,0,0,45.6
4E,92.8,92.4,92,91.7,89.6,0,0,0,0,0,45.8
5H,89.8,91,91.8,90,91,0,0,0,0,0,45.4
5E,88.7,92.5,93.1,90,92.7,0,0,0,0,0,45.7
6H,91.4,93,89.9,90.5,90.6,0,0,0,0,0,45.5
6E,90.5,89,91.7,92.7,91.7,0,0,0,0,0,45.6
7H,88,90.6,90.3,92.9,90.5,0,0,0,0,0,45.2
7E,91.9,93,93.6,90.9,92.8,0,0,0,0,0,46.2
8H,87.5,90.7,91.4,90.5,89,0,0,0,0,0,44.9
8E,92.6,91.3,94.6,90.3,91.6,0,0,0,0,0,46
9H,89,89,89.1,91.8,89.8,0,0,0,0,0,44.9
9E,91.7,92,93.5,93,89.6,0,0,0,0,0,46
10H,90.3,89.9,91.3,92,89.6,0,0,0,0,0,45.3
10E,89,88,89.2,92,90,0,0,0,0,0,44.8
11H,89.6,89,90,89.9,89.3,0,0,0,0,0,44.8
11E,91,91.6,92.7,91,92.7,0,0,0,0,0,45.9
12H,91.2,91.2,92.7,89,90,0,0,0,0,0,45.4
12E,91.7,93.5,92.6,92.9,90,0,0,0,0,0,46.1
13H,89.4,89,90.5,90.6,90.3,0,0,0,0,0,45
13E,88,94.1,90.2,87,89,0,0,0,0,0,44.8
14H,88.9,87.6,90.7,92,90,0,0,0,0,0,44.9
14E,91.8,88.7,92.5,92.3,92.4,0,0,0,0,0,45.8
15H,91.5,91.6,91.7,92.2,92.6,0,0,0,0,0,46
15E,89.1,92.1,93.3,92.3,91.1,0,0,0,0,0,45.8
16H,89,89.3,90.1,89.3,90.1,0,0,0,0,0,44.8
16E,92.6,91.1,92.9,92.5,93.8,0,0,0,0,0,46.3
17H,92.8,93.2,91,91.3,91.2,0,0,0,0,0,46
17E,92,91.6,92.2,91.2,91.8,0,0,0,0,0,45.9
18H,89.1,90.1,95,88,94,0,0,0,0,0,45.6
18E,92.2,89.8,91.2,93.4,90,0,0,0,0,0,45.7
19H,90.6,91.1,93.4,92.2,91.9,0,0,0,0,0,45.9
19E,92.3,91.9,90.9,91.2,90,0,0,0,0,0,45.6
20H,91.2,91.3,91.8,92.1,91,0,0,0,0,0,45.7
20E,91.3,92.3,91.8,91.7,92.5,0,0,0,0,0,46
