Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,61.6,59.7,57.5,,,,,,,,59.6
1E,58.7,57.6,58.2,,,,,,,,58.2
2H,71.2,71.7,72.7,,,,,,,,71.9
2E,61,63.5,62,,,,,,,,62.2
3H,74.2,72,71,,,,,,,,72.4
3E,70,71,67,,,,,,,,69.3
4H,75.4,71,68.7,,,,,,,,71.7
4E,51,54.5,53.6,,,,,,,,53
5H,71.3,71.5,70,,,,,,,,70.9
5E,60,55,55.5,,,,,,,,56.8
