"die number","production number","arrival at","die diamater",bolster,die_postition
SY50MP-V05D,SY50M-20-E-1,2023-04-11,260,B4626-1710-**,T3_3A
SY70M-V01B,SY7000-20-1,2021-01-05,300,B4630-1515-**,H4_1A
SY70M-V02B,SY7000-20-1,2022-03-15,300,B4630-2012-**,H4_1B
SY70MP-V01D,SY70M-20-E-1,2023-04-05,300,B6030-1515--**,T3_1A
TEST-V01,APTE00-96000150-D,2025-09-11,260,B4626-1710-**,
V100M1-V01D,V100-75-4,2022-07-02,260,B4626-1710-**,J1_2A
V100M1-V02D,V100-75-4,2023-09-11,260,B4626-1710-**,J1_2B
V100M2-V01D,V100-75-5,2022-07-02,260,B4626-1710-**,J1_3A
V100M2-V02D,V100-75-5,2023-08-29,260,B4626-1710-**,J1_3B
V100M4-V01D,V100-75-25,2022-07-02,300,B4630-2012-**,J2_1A
V100M4-V02D,V100-75-25,2023-08-28,300,B4630-2012-**,J2_1B
VJ10M-V01D,VJ100-16-7,0000-00-00,260,B4626-1710-**,I1_1A
VJ10M-V02D,VJ100-16-7,2021-12-01,260,B4626-1710-**,I1_1B
VJ30M-V01D,VJ300-8-5,2022-07-02,260,B4626-1710-**,J2_2A
VJ30M-V02D,VJ300-8-5,2023-09-11,260,B4626-1710-**,J2_2B
VJ30M1-V01D,VJ3000-20-1,2020-06-17,260,B4626-1710-**,I1_2A
VJ30M1-V02D,VJ3000-20-1,2022-02-23,260,B4626-1010-**,I1_2B
VJ30M3-V01D,VJ3000-20-10,2022-07-02,260,B4626-1710-**,J2_3A
VJ30M3-V02D,VJ3000-20-10,2023-08-28,260,B4626-1710-**,J2_3B
VP300M-V01D,VP300-22,2022-06-29,260,B4626-1710-**,J3_1A
VP300M-V02D,VP300-22,2023-08-24,260,B4626-1710-**,J3_1B
VP500M-V01D,VP500-22,2023-04-05,260,B6026-1712--**,T2_3A
VV10M1-V01B,DXT156-10-11,2021-01-05,260,B4626-1710-**,I1_3A
VV10M1-V02B,DXT156-10-11,2022-03-15,260,B4626-1710-**,I1_3B
VV11M1-V01D,VVZ2000-50-2D,2024-11-20,260,B4626-1010-**,
VV13M1-V01D,DXT192-11-44,2024-10-28,260,B4626-1710-**,
VV13M1-V01D-ZZZ,DXT192-11-44-30,2024-10-28,260,B4626-1710-**,
VV14M1-V01D,DXT199-20-23,2020-06-17,260,B4626-1710-**,I2_1A
VV14M1-V01D-ZZZ,DXT199-20-23-30,2025-11-24,260,B4626-1710-**,
VV14M1-V02D,DXT199-20-23,2021-12-01,260,B4626-1710-**,I2_1B
VV14M1-V02D-ZZZ,DXT199-20-23-30,2025-11-24,260,B4626-1710-**,
VV15M1-V01D,DXT201-13-13,2020-06-17,260,B4626-1710-**,I2_2A
VV15M1-V02D,DXT201-13-13,2021-12-01,260,B4626-1010-**,I2_2B
XGTP300BN-V01D,XGTP300-1-2M-1,2023-03-03,260,B4626-1710-**,T2_1A
XGTP300L-V01D,XGTP300-3-6M-1,2023-03-03,380,B6033-2121--**,2G1_3A
XGTP300L-V02D,XGTP300-3-6M-1,2025-10-30,380,B6033-2121--**,
XGTP500C-V01D,XGT500-9-4M-X692,2025-09-24,260,B4626-1710-**,
XLA16B2-V01B,XLA16-1B-S,2021-01-05,260,B4626-1710-**,I3_2A
XLA16B2-V02B,XLA16-1B-S,2021-12-27,260,B4626-1010-**,I3_2B
XLA16BN-V01B,XLA16-3-1B,2021-01-05,260,B4626-1710-**,I3_3A
XLA16BN-V02B,XLA16-3-1B,2021-12-27,260,B4626-1010-**,I3_3B
XLA25B2-V01B,XLA25-1B-S,2021-01-05,260,B4626-1710-**,I4_1A
XLA25B2-V02B,XLA25-1B-S,2021-12-27,260,B4626-1010-**,I4_1B
XLA25B2-V03B,XLA25-1B-S,2024-06-05,260,B4626-1710-**,N3_1B
XLA25B2-V04B,XLA25-1B-S,2025-08-07,260,B4626-1710-**,2M3_3B
XLA25BN-V01D,XLA25-3-1B,2020-07-08,260,B4626-1710-**,I4_2A
XLA25BN-V02D,XLA25-3-1B,2022-01-17,260,B4626-1010-**,I4_2B
XLA40B2-V01B,XLA40-1B-S,2021-01-05,300,B6030-1515--**,I4_3A
XLA40B2-V02B,XLA40-1B-S,2022-11-14,300,B6030-1515--**,I4_3B
XLA40B2-V03B,XLA40-1B-S,2024-04-12,300,B6030-1515--**,N3_3B
XLA40B2-V04B,XLA40-1B-S,2025-08-07,300,B6030-1515--**,
XLA40BN-V01D,XLA40-3-1B,2023-03-03,300,B6030-1515--**,T1_3A
XLA40BN-V02D,XLA40-3-1B,2025-12-10,300,B4630-1515-**,
XLA50B2-V01D,XLA50-1B-S,2023-04-05,330,B6033-2121--**,2F4_3A
XLA50B2-V02D,XLA50-1B-S,2025-02-24,330,B6033-2121--**,
XLA50BN-V01D,XLA50-3-1B,2023-03-03,300,B6030-1515--**,T2_3B
XLA50BN-V02D,XLA50-3-1B,2025-12-10,300,B4630-1515-**,
XLA63B2-V01D,XLA63-1B,2023-04-05,330,B6033-2121--**,2H2_1A
XLA63B2-V02D,XLA63-1B,2025-09-23,330,B6033-2121--**,
XLA80B2-V01D,XLA80-1B,2023-05-23,500,B6042-3030--**,2H2_3A
XLA80B2-V02D,XLA80-1B,2025-09-24,500,B6042-3030--**,
XLS25B-V01B,XLS25-1-1B,2022-06-29,260,B4626-1710-**,J3_2A
XLS25B-V02B,XLS25-1-1B,2024-04-12,260,B4626-1710-**,O1_2B
XT686B-V01C,XT686-1-420-1-2M,2023-05-16,300,B6030-1515--**,2G1_1A
XT686B-V02C,XT686-1-420-1-2M,2025-09-24,300,B6030-1515--**,
XT790C-V01E,P79001005-M,2023-11-15,230,B4620-1208-**,J4_1A
XVD2BN-V01E,XVD2-02B,2025-08-15,260,B4626-1010-**,
