Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,86.8,85,87.2,,,,,,,,86.3
1E,87,86.6,89,,,,,,,,87.5
2H,82.3,77,84.6,,,,,,,,81.3
2E,87.3,86.8,87.2,,,,,,,,87.1
3H,88,87.2,86.2,,,,,,,,87.1
3E,82.8,86,87.2,,,,,,,,85.3
4H,86.2,86,87.4,,,,,,,,86.5
4E,87.7,84.2,87,,,,,,,,86.3
5H,83,78,76.7,,,,,,,,79.2
5E,86,87.2,87,,,,,,,,86.7
6H,72,73,71,,,,,,,,72
6E,85.1,86.2,87,,,,,,,,86.1
7H,83.5,88.1,86.8,,,,,,,,86.1
7E,87.8,86.5,88,,,,,,,,87.4
8H,80.5,84.8,87,,,,,,,,84.1
8E,86.5,87,88,,,,,,,,87.2
9H,87.6,83,85.3,,,,,,,,85.3
9E,86,84.5,84.8,,,,,,,,85.1
10H,85,86.2,86.2,,,,,,,,85.8
10E,86.6,84,86,,,,,,,,85.5
11H,86,84.8,86.6,,,,,,,,85.8
11E,84.8,85.8,87,,,,,,,,85.9
12H,86.4,82.9,86,,,,,,,,85.1
12E,85.5,87.3,86,,,,,,,,86.3
