Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,77.3,76.5,76,,,,,,,,76.6
1E,72.5,75.9,76.2,,,,,,,,74.9
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,76.3,77.9,78.5,,,,,,,,77.6
8E,78.2,78,80.8,,,,,,,,79
9H,,,,,,,,,,,
9E,,,,,,,,,,,
