Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,83.8,84.5,82,,,,,,,,83.4
1E,82.6,84,82.8,,,,,,,,83.1
2H,82.9,81,83.6,,,,,,,,82.5
2E,83,85.8,80.2,,,,,,,,83
1E1,82,83.3,85,,,,,,,,83.4
1E2,83,82.7,81.2,,,,,,,,82.3
1E3,84.3,83,85.7,,,,,,,,84.3
1E4,85.4,83,85.8,,,,,,,,84.7
1E5,85,86,86.2,,,,,,,,85.7
1E6,80,82.7,84,,,,,,,,82.2
1E7,84.1,86,83.8,,,,,,,,84.6
1E8,82.6,80.8,84,,,,,,,,82.5
1E9,85,84.7,86,,,,,,,,85.2
1E10,85.1,83,85,,,,,,,,84.4
2E1,82,83.5,81,,,,,,,,82.2
2E2,84.8,80.3,85,,,,,,,,83.4
2E3,82.2,82,83.7,,,,,,,,82.6
2E4,81.2,81.2,80.7,,,,,,,,81
2E5,82.6,83,82.9,,,,,,,,82.8
2E6,81.4,82.8,85,,,,,,,,83.1
2E7,84,82.8,85,,,,,,,,83.9
2E8,83,82.8,81,,,,,,,,82.3
2E9,83.7,82,84.8,,,,,,,,83.5
2E10,84.5,82,83.7,,,,,,,,83.4
3E1,82.3,81,83.8,,,,,,,,82.4
3E2,79,80.2,82.5,,,,,,,,80.6
3E3,85.7,82,85.8,,,,,,,,84.5
3E4,81.6,80.7,83,,,,,,,,81.8
3E5,84.1,85,84.8,,,,,,,,84.6
3E6,84,83.8,84,,,,,,,,83.9
3E7,82,83.8,85,,,,,,,,83.6
3E8,83.8,84,83,,,,,,,,83.6
3E9,85,82.5,81,,,,,,,,82.8
3E10,82.7,81,84.8,,,,,,,,82.8
3E,83,82.8,85,,,,,,,,83.6
3H,80,83.5,86,,,,,,,,83.2
4H,80,81.2,84,,,,,,,,81.7
4E,83,84.8,84,,,,,,,,83.9
4E1,83.5,82.7,81,,,,,,,,82.4
4E2,85,85.4,84.2,,,,,,,,84.9
4E3,85,86,85.7,,,,,,,,85.6
4E4,85,84.8,83,,,,,,,,84.3
4E5,83,82.8,85,,,,,,,,83.6
4E6,84,83.6,82.4,,,,,,,,83.3
4E7,83.8,85.7,85,,,,,,,,84.8
4E8,85,84.8,82.7,,,,,,,,84.2
4E9,86,85.7,84.3,,,,,,,,85.3
4E10,82,81.8,80.7,,,,,,,,81.5
