Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1E,,,,,,,,,,,
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,84.6,83,84,,,,,,,,83.9
4E,86,82,82.6,,,,,,,,83.5
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,84.4,84.6,86,,,,,,,,85
8E,85,82.7,86.6,,,,,,,,84.8
9H,,,,,,,,,,,
9E,,,,,,,,,,,
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,85.7,85.9,85.2,,,,,,,,85.6
12E,84.2,84.6,84,,,,,,,,84.3
13H,,,,,,,,,,,
13E,,,,,,,,,,,
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,,,,,,,,,,,
15E,,,,,,,,,,,
16H,84.6,83.9,84,,,,,,,,84.2
16E,83.3,87,86,,,,,,,,85.4
