Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,76.3,79.4,78.1,,,,,,,,77.9
1A,72,74.1,73,,,,,,,,73
1B,76,77.2,76,,,,,,,,76.4
1E,71.8,71.2,72,,,,,,,,71.7
2H,78,75.2,78,,,,,,,,77.1
2A,75.2,73,72.8,,,,,,,,73.7
2B,78,77.8,77.6,,,,,,,,77.8
2E,73.6,71.7,75.8,,,,,,,,73.7
3H,76,75.8,77..6,,,,,,,,76.3
3A,76,75,76.4,,,,,,,,75.8
3B,78,79,77.8,,,,,,,,78.3
3E,75,73,74,,,,,,,,74
4H,74.1,76.9,78.3,,,,,,,,76.4
4A,71.9,73.,75.1,,,,,,,,73.3
4B,78,78.2,80,,,,,,,,78.7
4E,"73,4",71,72.8,,,,,,,,72.3
5H,78.2,78.9,77,,,,,,,,78
5A,73.9,74.9,77.2,,,,,,,,75.3
5B,79.5,79.2,90.4,,,,,,,,83
5E,72.5,75.1,77,,,,,,,,74.9
