Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1E,,,,,,,,,,,
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,84.2,86.6,85.3,,,,,,,,85.4
4E,84.4,81.5,85.4,,,,,,,,83.8
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,85,81.3,87,,,,,,,,84.4
8E,86,854,83,,,,,,,,341
9H,,,,,,,,,,,
9E,,,,,,,,,,,
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,82.9,84.7,87,,,,,,,,84.9
12E,85.5,90,87,,,,,,,,87.5
13H,,,,,,,,,,,
13E,,,,,,,,,,,
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,,,,,,,,,,,
15E,,,,,,,,,,,
16H,87,88,86,,,,,,,,87
16E,85.2,81.5,84.7,,,,,,,,83.8
17H,,,,,,,,,,,
17E,,,,,,,,,,,
