"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
CJ06C2-V01D,25,1.5,600,500,0,9,480,5,0.6,2,12,13,1B2
CQ25C-V01D,25,3,600,480,100,9,480,5,0.6,2,6,7,1B1
CQ40C-V01D,25,3,1200,490,100,9,480,5,0.6,2,10,11,1B1
PS32B-V01D,25,4,600,460,0,9,480,5,0.8,2,9,10,1B1
CJ06RT-V01D,25,1.5,600,500,0,9,480,5,0.6,2,10,11,1B3
CQ40C-V01D,25,3,1200,490,100,9,480,5,0.6,2,10,11,1B1
MSQ10B2-V01D,35,5.5,1200,480,100,9,480,5,0.6,1.5,16,17,1B1
CM32AS-V01D,25,6,1200,450,100,9,480,5,0.6,1.5,15,1,1B1
CG40H-V01C,25,4,1200,480,100,9,480,5,0.6,2,10,11,1B1
MXS20TB-V01D,50,7,1200,480,0,9,490,5,0.6,1.5,22,23,1B1
MXS08TB-V01D,35,2.3,600,480,0,9,500,5,0.6,1.5,20,21,1B1
MSQ50B2-V01D,35,3.7,1200,490,0,9,480,5,0.4,1.5,16,17,2B1
V100M2-V01D,25,1.7,1200,500,0,9,480,5,0.6,1.5,10,11,1B2
CJ10C-V01D,25,4,600,480,0,9,480,5,0.6,1.5,7,8,1B2
MXS08TB-V02D,25,2.3,600,500,0,9,500,5,0.6,1.5,20,21,1B1
CQ32C-V01D,25,2.5,600,480,100,9,480,5,0.6,2,8,9,1B1
CG32H-V01C,25,3,1200,500,100,9,480,5,0.6,2,11,12,1B1
CJ16P-V01D,25,3,600,500,0,9,480,5,0.6,1,15,1,1B2
CJ10P-V01D,25,2,600,500,0,9,480,5,0.6,1,20,1,1B2
CQ40T3-V01B,25,4.5,1200,480,100,9,480,5,0.6,1.5,21,22,1B1
MXS12TB-V02D,50,2.5,600,480,0,9,480,5,0.6,1.5,13,14,1B2
MHL25B2-V01D,50,4,1200,480,100,9,480,5,0.6,1.5,17,18,2B1
CUJ20A-V01D,25,3.1,600,490,100,9,490,5,1.2,1.5,12,13,1B1
MSQ7B-V01D,25,4,600,480,100,9,480,5,0.6,1.5,9,10,1B1
CG32R3-V01D,25,4,1200,490,50,9,480,5,0.6,1.5,12,13,1B1
CG20R3-V01D,25,3,600,460,100,9,480,5,0.5,2,13,14,1B1
CG25R3-V01D,25,3,600,470,50,9,480,5,0.6,2,9,10,1B1
VJ30M-V01D,25,2,600,480,100,9,480,5,0.6,1.5,15,16,1B1
AXT835M-V01D,50,6,1200,480,50,9,480,5,0.6,1.5,21,22,1B1
MHKL12B-V01D,50,5,1200,500,50,9,480,5,0.6,1.5,21,22,1B1
CQ20T3-V01B,25,3,600,480,100,9,500,5,0.6,1.5,15,16,1B1
MHL10B2-V01D,50,4,1200,480,100,9,480,5,0.8,1.5,20,21,1B1
MHL10B2-V01D,50,4,1200,480,100,9,480,5,0.8,1.5,20,21,1B1
DXT199M1-V01D,50,5.5,1200,480,100,9,480,5,0.6,1.5,16,17,1B1
MXH16P-V01D,50,6,1200,490,0,9,480,5,0.2,1.5,8,9,2B1
XLA25BN-V01D,35,8.2,1200,460,50,9,500,5,0.6,2.5,20,19,2B1
MHZ20B-V01B,50,5,600,480,100,9,480,5,0.6,1.5,9,10,2B1
CQS20T-V01D,25,4,600,480,100,9,480,5,0.6,1.5,13,14,1B1
AXT663M6-V01D,25,4,600,480,100,9,480,5,0.6,1.5,13,14,1B1
CUJ16A-V01D,25,2.2,600,490,100,9,490,5,1.2,1.5,18,19,1B1
CQ50G-V01C,35,5,1200,490,50,9,480,5,0.6,1.5,5,6,2B1
CQS12T-V01D,25,2,600,490,50,9,480,5,0.6,1.5,20,21,1B1
MGPM16B2-V01D,25,4,1200,480,100,9,480,5,0.6,1.5,12,13,1B1
MGPM40B2-V01D,25,4,1200,490,50,9,480,5,0.6,1.5,3,4,3B1
CQ63G-V01C,25,5.5,1200,490,0,9,480,5,1.2,1.5,5,6,1B1
CQS12T2-V01D,25,3,600,480,50,9,480,5,0.6,1.5,11,12,1B2
CJP10B-V01D,50,3,600,480,0,9,480,5,0.6,1.5,22,23,1B1
CQ16T3L-V01B,25,3,600,480,50,9,480,5,0.6,3,10,11,1B2
PS63-V01D,25,5,1200,500,0,9,480,5,0.5,1.5,17,18,3B1
MSQ50B2-V02D,35,5.5,1200,490,0,9,480,5,0.4,1.5,16,17,2B1
VJ30M1-V01D,25,1,600,490,0,9,480,5,0.6,1.5,15,15,1B1
PS16-V01D,25,2,600,480,0,9,480,5,0.6,1.5,12,1,1B2
V100M1-V01D,25,1.6,1200,500,0,9,480,5,0.6,1.5,22,23,1B1
PS32-V01D,25,4,600,460,0,9,480,5,0.6,2,7,8,1B1
PS25-V01D,50,3.5,1200,460,0,9,480,5,0.6,2,14,15,1B1
CUJ12A-V02D,35,1.5,600,500,100,9,480,5,1,1.5,11,12,1B2
MYB32P2-V01D,35,4,1200,480,100,9,480,5,0.6,1.5,19,20,1B1
MYB40P2-V01D,35,4,1200,480,100,9,480,5,0.6,1.5,11,12,1B1
PS50-V01D,25,4,1200,480,100,9,480,5,0.6,1.5,6,7,1B1
PS40-V01D,25,3,1200,490,100,9,480,5,1,2,11,12,1B1
CU20B3-V01D,35,4,600,480,100,9,480,5,0.6,1.5,15,16,1B1
MHL20B2-V01D,50,3,1200,480,100,9,480,5,1,1.5,10,11,1B1
MSQ10B2-V03D,35,5.5,1200,480,100,9,480,5,0.6,1.5,16,17,1B1
MXS12TB-V01D,50,2.5,600,490,0,9,480,5,0.6,1.5,13,14,1B2
SY30M-V01B,50,4,1200,490,100,9,490,5,0.6,1.5,17,18,1B1
CM25AH-V02D,25,4.5,600,450,100,9,480,5,0.6,1.5,13,14,1B1
CM25AS-V02D,25,6,600,450,100,9,480,5,0.6,1.5,13,14,1B1
CM32AH-V02D,55,5,1200,450,100,9,480,5,0.6,1.5,15,14,1B1
