Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,77.6,79,86,,,,,,,,80.9
1E,76,77.2,79,,,,,,,,77.4
2H,77.5,78,78.2,,,,,,,,77.9
2E,88.2,87.9,86,,,,,,,,87.4
3H,88,87.3,86,,,,,,,,87.1
3E,82,86,87.2,,,,,,,,85.1
4H,87.5,87,88.5,,,,,,,,87.7
4E,82,85.9,87,,,,,,,,85
5H,87.6,88,86.8,,,,,,,,87.5
5E,87,82.8,85,,,,,,,,84.9
6H,60,67,66.2,,,,,,,,64.4
6E,82,87,85.7,,,,,,,,84.9
7H,85,87.2,84,,,,,,,,85.4
7E,88.3,79,86,,,,,,,,84.4
8H,87,88.2,86.7,,,,,,,,87.3
8E,87,88,86.7,,,,,,,,87.2
9H,76,80.3,85,,,,,,,,80.4
9E,88.5,87,86.8,,,,,,,,87.4
10H,77,78.2,79.1,,,,,,,,78.1
10E,82.8,82,83.8,,,,,,,,82.9
11H,85,74,78,,,,,,,,79
11E,83.5,83.4,86,,,,,,,,84.3
12H,87,88.2,85,,,,,,,,86.7
12E,83.1,77.8,78,,,,,,,,79.6
11H1,84,85.7,83,,,,,,,,84.2
1H1,83,85.8,82,,,,,,,,83.6
6H,,,,,,,,,,,
6H1,83,83.8,85,,,,,,,,83.9
1E1,90,90.2,91,,,,,,,,90.4
9H1,80,82.7,84,,,,,,,,82.2
1H1,87,88.2,84,,,,,,,,86.4
2H1,83,85.7,82,,,,,,,,83.6
2E1,87,86.3,83,,,,,,,,85.4
3H1,89.2,89.6,90.2,,,,,,,,89.7
3E1,86,82.,84,,,,,,,,84
4H1,85,82.7,85,,,,,,,,84.2
4E1,88.6,87,84.8,,,,,,,,86.8
5H1,86,84.8,85,,,,,,,,85.3
5E1,84,82.8,82,,,,,,,,82.9
6E1,87,83.8,85,,,,,,,,85.3
7H1,82,81.8,83,,,,,,,,82.3
7E1,85,83.7,84,,,,,,,,84.2
8H1,86,85.7,86.5,,,,,,,,86.1
8E1,84,83.7,81,,,,,,,,82.9
9E1,80.7,84,84.8,,,,,,,,83.2
10H1,86,82.8,84,,,,,,,,84.3
10E1,88.3,87,88.4,,,,,,,,87.9
11H1,86,87.2,85,,,,,,,,86.1
11E1,82,84.7,85,,,,,,,,83.9
12H1,86,84.8,84,,,,,,,,84.9
12E1,77.5,78,76.7,,,,,,,,77.4
1E2,82,83.6,87,,,,,,,,84.2
2E2,84.8,86,84.7,,,,,,,,85.2
3E2,86.8,85,87,,,,,,,,86.3
4E2,86,87,84.7,,,,,,,,85.9
5E2,86,87.2,86.4,,,,,,,,86.5
6E2,86,83.8,85,,,,,,,,84.9
7E2,84,82.8,84,,,,,,,,83.6
8E2,83,82.8,85,,,,,,,,83.6
9E2,82,83.6,87,,,,,,,,84.2
10E2,82,83.8,85,,,,,,,,83.6
11E2,83,85.8,86,,,,,,,,84.9
12E2,87,85.7,86,,,,,,,,86.2
