Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,89.1,90,87,,,,,,,,88.7
1E,90.4,87.2,88.9,,,,,,,,88.8
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,86.4,87,89,,,,,,,,87.5
3E,86,86.3,87.2,,,,,,,,86.5
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,89,89.9,89.9,,,,,,,,89.6
5E,88,86.2,86.6,,,,,,,,86.9
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,86.3,92.7,88.4,,,,,,,,89.1
7E,88.9,89.6,86.1,,,,,,,,88.2
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,86,89.6,86,,,,,,,,87.2
9E,86,88.8,86,,,,,,,,86.9
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,87.6,92.2,88.3,,,,,,,,89.4
11E,90.8,89.4,89.1,,,,,,,,89.8
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,88.4,88.1,86.4,,,,,,,,87.6
13E,88.5,86.1,89,,,,,,,,87.9
14H,,,,,,,,,,,
14E,,,,,,,,,,,
