Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,86.2,82,84.8,,,,,,,,84.3
1E,90.8,88.9,90.2,,,,,,,,90
2H,86,85.1,86,,,,,,,,85.7
2E,90.3,90.1,89.7,,,,,,,,90
3H,83,88.4,87,,,,,,,,86.1
3E,83.4,78.1,80,,,,,,,,80.5
4H,86.3,88,87.2,,,,,,,,87.2
4E,86,85.7,85,,,,,,,,85.6
5H,78,77.2,71,,,,,,,,75.4
5E,86.4,87.2,88,,,,,,,,87.2
6H,54,52.7,65,,,,,,,,57.2
6E,89,82.7,83,,,,,,,,84.9
7H,87.8,87.2,88.1,,,,,,,,87.7
7E,73.9,86,87.3,,,,,,,,82.4
8H,87.7,82,85,,,,,,,,84.9
8E,86,86.5,87,,,,,,,,86.5
9H,78,79.2,77,,,,,,,,78.1
9E,94.6,90,88.9,,,,,,,,91.2
10H,78,77.8,79.3,,,,,,,,78.4
10E,88.1,90.9,91,,,,,,,,90
11H,80.5,84.9,85,,,,,,,,83.5
11E,84,84.8,83,,,,,,,,83.9
12H,87,83.8,85,,,,,,,,85.3
12E,76,85.6,86.2,,,,,,,,82.6
1M,90.9,89.7,90.2,,,,,,,,90.3
2M,80.2,87.9,88,,,,,,,,85.4
3M,84.6,85,82.7,,,,,,,,84.1
4M,85.6,88,82.8,,,,,,,,85.5
5M,86,85.7,83,,,,,,,,84.9
6M,92.2,90,89.7,,,,,,,,90.6
7M,88.5,87,85.8,,,,,,,,87.1
8M,81.6,82.7,84,,,,,,,,82.8
9M,91.9,90.2,90,,,,,,,,90.7
10M,87.9,88,86.2,,,,,,,,87.4
11M,86,88.2,87.9,,,,,,,,87.4
12M,87,84.8,85.8,,,,,,,,85.9
11E1,86,82,83.8,,,,,,,,83.9
7H1,88,86,85.8,,,,,,,,86.6
5M,89.4,90,90.4,,,,,,,,89.9
1H1,78,80,82.7,,,,,,,,80.2
4M,83.7,88.1,87.2,,,,,,,,86.3
4H1,79.8,80,79.7,,,,,,,,79.8
2M,88.2,87.2,86.8,,,,,,,,87.4
2E1,78.3,82.6,84,,,,,,,,81.6
10H1,73,78,80.2,,,,,,,,77.1
12M,87,84.8,83,,,,,,,,84.9
10M,91.1,90.6,91,,,,,,,,90.9
11M,84.8,79.6,80,,,,,,,,81.5
11H,79,86,83.8,,,,,,,,82.9
8E1,85.1,86.7,87,,,,,,,,86.3
7E1,87,86.9,87,,,,,,,,87
5E1,89.2,95.2,90.4,,,,,,,,91.6
7H1,91.4,90.2,90.5,,,,,,,,90.7
