press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401,machine,mfg,productivity,total_time,"time code 300","time code 200"
2024-12-30,0.98,MYB25P2-V01D,MYB25-55-AS550-20-K,1.89486,2.000,3.79,35,4.17,●,10,10,600,9,139,1,138,2024-12-31,2024-12-31,2025-01-06,2025-01-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.53572,0.98,0.0000,0.0000
2024-12-30,0.87,CA20T-V02C,S370A63T26X20X20,0.57805,2.000,1.156,25,2.98,●,3,3,600,9,134,1,133,2025-01-06,2024-12-31,2025-01-06,2025-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,VN,0.17882,0.87,0.0000,0.0000
2024-12-30,1.77,CQ40T3-V01B-ZZZ,C2Q40A-AD139A30K,2.77506,3.000,8.325,25,2.98,●,17,17,1200,9,237,0,237,2024-12-31,2024-12-31,2025-01-06,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.11682,1.77,0.0000,0.0000
2024-12-27,0.67,CA50T-V03C,S370A63T58X50X30,1.81095,3.000,5.433,25,2.98,◎,5,5,600,9,50,0,50,2024-12-27,2024-12-27,2024-12-30,2025-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.40752,0.67,0.0000,0.0000
2024-12-27,1.03,CQS20T-V01D,CQS20-04-F6466-K,1.9737,2.000,3.947,25,2.98,●,14,14,600,9,194,114,80,2024-12-30,2024-12-27,2024-12-30,2024-12-31,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.74112,1.03,0.0000,0.0000
2024-12-27,2.48,PS63-V01D,S500A61T63X14X20,8.046,2.000,16.092,25,2.98,●,27,27,1200,9,162,0,162,2024-12-27,2024-12-27,2024-12-30,2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.04982,2.48,0.0000,0.0000
2024-12-27,4.77,MGPM40B2-V01D,MGP40A-AC896-30K,9.68,3.000,29.04,35,4.17,●,36,36,1200,12,216,4,212,2025-01-06,2025-01-06,2025-01-06,2025-01-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,Dubai,1.09662,4.77,0.0000,0.0000
2024-12-27,1.07,CQ20T2-V02D,C2Q020K04-51396,2.13435,2.000,4.269,25,2.98,●,19,19,600,9,228,6,222,2024-12-30,2024-12-27,2024-12-30,2025-01-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,Dubai,0.91242,1.07,0.0000,0.0000
2024-12-27,2.75,CQ50T3-V01B-ZZZ,C2Q50A-AD140A30K,4.15908,3.000,12.477,25,2.98,●,28,35,1200,9,314,0,314,2024-12-30,2024-12-27,2024-12-30,2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.42472,2.75,0.0000,0.0000
2024-12-27,0.78,CQ25T3-V01B,C2Q25A-AD137A20K,2.15838,2.000,4.317,25,2.98,●,10,10,600,9,119,2,117,2024-12-30,2024-12-27,2024-12-30,2025-01-06,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.65582,0.78,0.0000,0.0000
