Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,85.4,83,85.8,,,,,,,,84.7
1E,83,82.7,85,,,,,,,,83.6
2H,84,84.5,84.8,,,,,,,,84.4
2E,83.3,82,81.7,,,,,,,,82.3
3H,80,81.2,84,,,,,,,,81.7
3E,82,83.7,84,,,,,,,,83.2
4H,85,84,83.8,85,,,,,,,84.4
4E,84.8,83,84.7,,,,,,,,84.2
5H,84.5,82,83.7,,,,,,,,83.4
5E,84,83.8,85,,,,,,,,84.3
6H,86.3,84,86.5,,,,,,,,85.6
6E,85.4,84,83.7,,,,,,,,84.4
1E1,79,80.2,83,,,,,,,,80.7
1E2,84.1,83,82.7,,,,,,,,83.3
1E3,80.4,84.8,82,,,,,,,,82.4
1E4,84,85.7,84,,,,,,,,84.6
1E5,84,83.7,81,,,,,,,,82.9
2E1,82.9,85,84.7,,,,,,,,84.2
2E2,82.8,84,83.7,,,,,,,,83.5
2E3,83,82.8,85,,,,,,,,83.6
2E4,78,79.5,80.1,,,,,,,,79.2
2E5,82.8,84,83.7,,,,,,,,83.5
3E1,83.1,84.2,81,,,,,,,,82.8
3E2,84.2,82,81.7,,,,,,,,82.6
3E3,84.5,84.6,85,,,,,,,,84.7
3E4,79,80.4,85,,,,,,,,81.5
3E5,82,83.7,85,,,,,,,,83.6
4E1,84.9,85,83.7,,,,,,,,84.5
4E2,84,85,84.8,,,,,,,,84.6
4E3,78,79.2,80.1,,,,,,,,79.1
4E4,85.6,84,84.8,,,,,,,,84.8
4E5,85,84.8,85,,,,,,,,84.9
5E1,86.1,83,85.7,,,,,,,,84.9
5E2,80,82,83.8,,,,,,,,81.9
5E3,83,82.7,85,,,,,,,,83.6
5E4,82.3,84,85,,,,,,,,83.8
5E5,80.5,82,84.8,,,,,,,,82.4
6E1,86.1,87,80.9,,,,,,,,84.7
6E2,85.5,86,83.8,,,,,,,,85.1
6E3,82.9,83,84.8,,,,,,,,83.6
6E4,84,85.8,86,,,,,,,,85.3
6E5,83,83.8,86,,,,,,,,84.3
