Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,73.5,77.4,77.9,,,,,,,,76.3
1A,73.3,76.7,81.2,,,,,,,,77.1
1B,72.5,77.2,76.4,,,,,,,,75.4
1E,80.5,78.6,77.8,,,,,,,,79
2H,76.7,78.2,77,,,,,,,,77.3
2A,75.7,75.7,75.4,,,,,,,,75.6
2B,71.5,74.3,77.3,,,,,,,,74.4
2E,76.3,74.2,77.4,,,,,,,,76
3H,77.3,77.8,76.3,,,,,,,,77.1
3A,75.4,75.9,76.4,,,,,,,,75.9
3B,72.8,77.9,77.7,,,,,,,,76.1
3E,75.4,77.1,76.5,,,,,,,,76.3
4H,76.1,76.6,77.5,,,,,,,,76.7
4A,75,78.5,75.6,,,,,,,,76.4
4B,78.2,77.5,78.3,,,,,,,,78
4E,79.9,76,76.8,,,,,,,,77.6
5H,72,77.2,77.1,,,,,,,,75.4
5A,76.2,76.3,77.8,,,,,,,,76.8
5B,78.1,75.7,77.1,,,,,,,,77
5E,77.2,77.4,73.6,,,,,,,,76.1
6H,,,,,,,,,,,
6A,,,,,,,,,,,
6B,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7A,,,,,,,,,,,
7B,,,,,,,,,,,
7E,,,,,,,,,,,
