Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,93,92.7,91,,,,,,,,92.2
1E,,,,,,,,,,,
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,93,92.8,91,,,,,,,,92.3
3E,92,91.2,90.7,,,,,,,,91.3
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,90,91.2,90.7,,,,,,,,90.6
5E,92,92.8,91,,,,,,,,91.9
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,90,91.2,90.8,,,,,,,,90.7
7E,94,92.8,91,,,,,,,,92.6
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,90,91.2,90.7,,,,,,,,90.6
9E,91,90.2,90.8,,,,,,,,90.7
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,89,90.8,90.8,,,,,,,,90.2
11E,89,90.2,91,,,,,,,,90.1
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,90,91.2,90.5,,,,,,,,90.6
13E,92,91.8,90,,,,,,,,91.3
14H,,,,,,,,,,,
14E,,,,,,,,,,,
