Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,88,89,89.2,,,,,,,,88.7
1E,87,88.4,89,,,,,,,,88.1
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,88.4,87,84.7,,,,,,,,86.7
3E,87,87,86.2,,,,,,,,86.7
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,87.8,87,87.3,,,,,,,,87.4
5E,89,88.5,89.8,,,,,,,,89.1
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,92.8,89.6,88.2,,,,,,,,90.2
7E,88.7,91.5,89.1,,,,,,,,89.8
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,87,89.4,86,,,,,,,,87.5
9E,88.8,87.9,88.7,,,,,,,,88.5
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,86,89.2,89.1,,,,,,,,88.1
11E,87.3,87.3,86,,,,,,,,86.9
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,87.6,89,88.9,,,,,,,,88.5
13E,89,87,88.2,,,,,,,,88.1
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,91.2,88,88.3,,,,,,,,89.2
15E,89.2,88.9,89,,,,,,,,89
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,88.9,89,89.2,,,,,,,,89
17E,87.8,88,88.9,,,,,,,,88.2
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,89,87,88.4,,,,,,,,88.1
19E,87,88,89,,,,,,,,88
20H,,,,,,,,,,,
20E,,,,,,,,,,,
21H,88,88.3,86,,,,,,,,87.4
21E,88.2,88.6,87,,,,,,,,87.9
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,87,88.2,88.5,,,,,,,,87.9
23E,89.8,87,86.2,,,,,,,,87.7
24H,,,,,,,,,,,
24E,,,,,,,,,,,
25H,87.3,88.2,87.2,,,,,,,,87.6
25E,91.3,87,91.2,,,,,,,,89.8
26H,,,,,,,,,,,
26E,,,,,,,,,,,
27H,87.3,88.2,89.5,,,,,,,,88.3
27E,87.5,89,89.2,,,,,,,,88.6
28H,,,,,,,,,,,
28E,,,,,,,,,,,
29H,86,87.2,88,,,,,,,,87.1
29E,89.1,90.2,90.1,,,,,,,,89.8
30H,,,,,,,,,,,
30E,,,,,,,,,,,
31H,89,88.9,88,,,,,,,,88.6
31E,87,88.3,87.3,,,,,,,,87.5
32H,,,,,,,,,,,
32E,,,,,,,,,,,
33H,87,86.7,88.4,,,,,,,,87.4
33E,87,88,86.9,,,,,,,,87.3
34H,,,,,,,,,,,
34E,,,,,,,,,,,
35H,87,87.9,88.8,,,,,,,,87.9
35E,89.2,87.6,87.2,,,,,,,,88
36H,,,,,,,,,,,
36E,,,,,,,,,,,
37H,88,88.3,87,,,,,,,,87.8
37E,88.2,87,90.2,,,,,,,,88.5
38H,,,,,,,,,,,
38E,,,,,,,,,,,
39H,86,90.5,87,,,,,,,,87.8
39E,86,89.2,90.8,,,,,,,,88.7
40H,,,,,,,,,,,
40E,,,,,,,,,,,
41H,88.6,88.7,86,,,,,,,,87.8
41E,86,87,87.5,,,,,,,,86.8
42H,,,,,,,,,,,
42E,,,,,,,,,,,
43H,87,87.4,87.9,,,,,,,,87.4
43E,88.3,90.2,87,,,,,,,,88.5
44H,,,,,,,,,,,
44E,,,,,,,,,,,
45H,86.7,87,87.2,,,,,,,,87
45E,87,89.4,87.2,,,,,,,,87.9
46H,,,,,,,,,,,
46E,,,,,,,,,,,
47H,87.1,87.3,89,,,,,,,,87.8
47E,86,87,87.2,,,,,,,,86.7
48H,,,,,,,,,,,
48E,,,,,,,,,,,
49H,87,87.5,87,,,,,,,,87.2
49E,86,90.9,87,,,,,,,,88
50H,,,,,,,,,,,
50E,,,,,,,,,,,
51H,88.1,86,87.6,,,,,,,,87.2
51E,86.5,91.1,87.3,,,,,,,,88.3
52H,,,,,,,,,,,
52E,,,,,,,,,,,
53H,87,91.6,86,,,,,,,,88.2
53E,87.7,87,86.2,,,,,,,,87
54H,,,,,,,,,,,
54E,,,,,,,,,,,
55H,86,87,87.3,,,,,,,,86.8
55E,86,88,87.6,,,,,,,,87.2
56H,,,,,,,,,,,
56E,,,,,,,,,,,
57H,88,88.3,89.1,,,,,,,,88.5
57E,,,,,,,,,,,
58H,,,,,,,,,,,
58E,,,,,,,,,,,
59H,88.1,88.3,87.6,,,,,,,,88
59E,,,,,,,,,,,
60H,,,,,,,,,,,
60E,,,,,,,,,,,
