Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,78.2,77.6,78,,,,,,,,77.9
1A,71,75.2,74.9,,,,,,,,73.7
1B,76,74.3,74.6,,,,,,,,75
1E,67,61.2,66,,,,,,,,64.7
2H,75.3,79.3,77.2,,,,,,,,77.3
2A,72,71,73,,,,,,,,72
2B,76.5,77.9,78.2,,,,,,,,77.5
2E,67,67.2,68,,,,,,,,67.4
3H,75,80.6,78.9,,,,,,,,78.2
3A,72.2,71,72.1,,,,,,,,71.8
3B,78.3,77.2,78,,,,,,,,77.8
3E,73,73.8,73.1,,,,,,,,73.3
4H,77.4,77.3,74,,,,,,,,76.2
4A,73.5,74.8,72.8,,,,,,,,73.7
4B,77.3,78.4,78.2,,,,,,,,78
4E,71,72,74,,,,,,,,72.3
5H,72.5,74.5,77.1,,,,,,,,74.7
5A,74.3,72,76.1,,,,,,,,74.1
5B,77.7,77.4,78,,,,,,,,77.7
5E,71.8,73.3,73,,,,,,,,72.7
6H,76,79,78.3,,,,,,,,77.8
6A,72.5,73.3,73.8,,,,,,,,73.2
6B,73.8,76.8,76,,,,,,,,75.5
6E,71.5,72,71,,,,,,,,71.5
7H,72.7,77.3,76.8,,,,,,,,75.6
7A,71,71.9,72,,,,,,,,71.6
7B,72.1,76.6,76.3,,,,,,,,75
7E,74.1,70.6,71.2,,,,,,,,72
8H,78,74.6,76.9,,,,,,,,76.5
8A,71.8,72.6,75.1,,,,,,,,73.2
8B,72,73,71,,,,,,,,72
8E,72,71,76,,,,,,,,73
9H,74.8,75,74.8,,,,,,,,74.9
9A,72,71.7,71.6,,,,,,,,71.8
9B,76,79,78.2,,,,,,,,77.7
9E,71.7,73,70.1,,,,,,,,71.6
10H,73.7,72.8,75,,,,,,,,73.8
10A,71.8,71.3,73,,,,,,,,72
10B,78.5,75.3,74,,,,,,,,75.9
10E,71.3,71.8,71.5,,,,,,,,71.5
11H,75.1,75.2,77.7,,,,,,,,76
11A,71,72.8,71.8,,,,,,,,71.9
11B,74,76.3,77.4,,,,,,,,75.9
11E,71.8,72.3,73,,,,,,,,72.4
12H,74.7,72.6,78.2,,,,,,,,75.2
12A,71.5,71.2,75.6,,,,,,,,72.8
12B,75.7,75,76.3,,,,,,,,75.7
12E,72,71,71.2,,,,,,,,71.4
13H,76.5,75.4,76.1,,,,,,,,76
13A,77.8,73.9,75.3,,,,,,,,75.7
13B,75,76.8,77,,,,,,,,76.3
13E,71.8,71,72.1,,,,,,,,71.6
14H,71,76.7,75.2,,,,,,,,74.3
14A,71.9,72,72.1,,,,,,,,72
14B,77.4,78.7,76.3,,,,,,,,77.5
14E,72,73,71,,,,,,,,72
15H,77.4,76.9,77,,,,,,,,77.1
15A,75.7,75,72.7,,,,,,,,74.5
15B,75,77.8,74,,,,,,,,75.6
15E,72,73.6,72,,,,,,,,72.5
1E1,75,74.9,72,,,,,,,,74
2E1,74.3,77,73,,,,,,,,74.8
