Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,68.4,68.7,71.3,,,,,,,,69.5
1A,36.4,35.1,32.5,,,,,,,,34.7
1B,50.1,53.2,54.4,,,,,,,,52.6
1E,50.1,52.3,54.5,,,,,,,,52.3
2H,70.7,74.9,74.5,,,,,,,,73.4
2A,36.2,38.2,38.9,,,,,,,,37.8
2B,68.5,68,71,,,,,,,,69.2
2E,61.4,61.9,61,,,,,,,,61.4
,,,,,,,,,,,
,,,,,,,,,,,
2M,66,65.1,66,,,,,,,,65.7
2M1,68,67.3,68.1,,,,,,,,67.8
1M,63.9,67.5,64.4,,,,,,,,65.3
1M1,42,38.2,35.4,,,,,,,,38.5
